阶段,hour,datetime,T_inf_degC,U_m_s,d_eff_m,T_shell_degC,Q_W,Q_eff_W,T_wo_degC,Gr_Re2,Q_cap_W,h_nat_W_m2K,h_forced_W_m2K,h_mixed_W_m2K
大潮,4059,2026-06-19 04:00:00,27.092182099675888,0.055265289473684205,29.965760273972602,76.74713859335074,6497.37231293665,6489.9005513631955,27.849476918047998,0.7367690022178729,562543.818742425,215.74181361273716,214.04842061891068,270.75508463364434
大潮,4060,2026-06-19 05:00:00,27.098226804112507,0.05131792105263157,29.855760273972603,76.75837318995077,6493.434718842965,6495.233616073035,27.889149675537237,0.8929488720747242,554569.1642991297,219.03689843053584,204.19581607092402,266.9473432059834
大潮,4061,2026-06-19 06:00:00,27.102643578369886,0.0289495,29.795760273972604,76.80806624938805,6462.195811024877,6478.917249259957,28.178320435503394,3.8308204827200996,540258.6739209635,244.65317960970847,143.3962513167048,260.08056150839013
大潮,4062,2026-06-19 07:00:00,27.103155454406718,0.06184423684210526,29.855760273972603,76.82411537476163,6514.66928340097,6493.191006678225,27.81225256229209,0.5507183383033575,578405.5770388083,211.08323812381278,230.10546506001793,278.44717767480637
大潮,4063,2026-06-19 08:00:00,27.099437149988002,0.09605476315789474,30.045760273972604,76.76963266370092,6529.13520263813,6523.11480576849,27.635928857573592,0.17231553870097552,689071.7604950086,194.25992681322933,307.81038687268716,331.6990849832982
大潮,4064,2026-06-19 09:00:00,27.091488663847127,0.11447581578947372,30.365760273972604,76.70280948066433,6527.426084797344,6528.3503677891895,27.568370213922073,0.10773392752472843,754010.759848676,182.0443533482394,346.94303753250176,362.90430116076266
大潮,4065,2026-06-19 10:00:00,27.083213366329336,0.1026337105263158,30.695760273972603,76.65242812296839,6515.701381259867,6521.374767790039,27.595609023073195,0.1440465372398078,713182.9237194866,191.86565218279296,321.91971936150406,343.2002428249119
大潮,4066,2026-06-19 11:00:00,27.078189346813065,0.07763371052631575,30.925760273972603,76.63373230134968,6499.862398454378,6507.931879250965,27.691820060661648,0.30185799468303004,625188.8639365898,201.70784583358562,266.92056533613766,300.8268895819351
大潮,4067,2026-06-19 12:00:00,27.076091323066475,0.046054763157894724,31.065760273972604,76.66157028809258,6474.246576393092,6488.189470677574,27.916222602169764,1.1777594861724459,546047.2555582415,223.75417794442257,190.69105953086662,262.73530298561616
大潮,4068,2026-06-19 13:00:00,27.07887097963163,0.0434231842105263,31.055760273972602,76.71529138372436,6479.295843874585,6477.208316784832,27.94828908080632,1.3716440910412864,543096.9094938731,226.61522218712832,183.80076607664213,261.32944424708325
大潮,4069,2026-06-19 14:00:00,27.084576629440324,0.07500213157894739,30.955760273972604,76.7203776005744,6511.520173868103,6497.842124367603,27.712926090484455,0.3312887025965704,616783.0433282102,203.16070503184022,260.92684802881087,296.8180206319579
大潮,4070,2026-06-19 15:00:00,27.095159957036195,0.11316002631578947,30.705760273972604,76.67793193855931,6522.47250158825,6518.007973797423,27.575418232648715,0.11105018397891869,749439.5558990127,183.31631967522102,344.2032246553212,360.72921803920644
大潮,4071,2026-06-19 16:00:00,27.110295680190568,0.14210739473684209,30.315760273972604,76.62635626710029,6520.9265033287875,6521.881466706497,27.520732767882595,0.06014762713004748,854157.279430211,157.262072164391,403.4379326417058,411.2508623674097
大潮,4072,2026-06-19 17:00:00,27.128032111837587,0.15658107894736842,29.8457602739726,76.5842890569327,6514.906290064256,6517.8474120196115,27.511011443403223,0.04623253304338228,909030.1849297605,147.03904450724653,432.2177222342855,437.817325528231
大潮,4073,2026-06-19 18:00:00,27.146742845879803,0.14605476315789476,29.3457602739726,76.56060428482023,6505.483231290015,6510.048488711233,27.548308698520444,0.05575645524031797,868667.2695413948,154.03163043571595,411.45204203634205,418.52539591725116
大潮,4074,2026-06-19 19:00:00,27.161873947512234,0.10658107894736843,28.955760273972604,76.56463224802384,6490.682655621035,6498.291098491955,27.659249690812896,0.12990061814288537,726712.8610603554,189.90527220028255,330.5332371610282,350.2317820471265
大潮,4075,2026-06-19 20:00:00,27.17082316773623,0.05000213157894737,28.7557602739726,76.6197922725746,6457.402729855726,6476.597837573549,27.969234323308832,0.9513602677947872,551306.2857535706,220.00906694121826,200.9697879683513,265.74139760353745
大潮,4076,2026-06-19 21:00:00,27.17196410045672,0.06447581578947369,28.795760273972604,76.68553063131463,6483.9343903560875,6472.109879184939,27.859553285702216,0.4920578133951898,584695.6046956797,209.20713711418858,236.52134426978932,281.841848880024
大潮,4077,2026-06-19 22:00:00,27.166923149255304,0.09868634210526317,29.0257602739726,76.69248306170535,6507.441830159283,6497.050365611925,27.691864718784725,0.15999178436395584,698063.374537823,193.3332937533042,313.66970084192985,336.4566086899409
大潮,4078,2026-06-19 23:00:00,27.15960368448751,0.11052844736842105,29.3257602739726,76.67175323280901,6510.145363788057,6508.794826087468,27.646390078661497,0.11819283442827642,739924.4686088552,185.93784935754718,338.8655507333591,356.58365918552767
大潮,4079,2026-06-20 00:00:00,27.151632109736546,0.1026337105263158,29.645760273972602,76.6539749310394,6505.153918786403,6507.542612771974,27.662917253483894,0.14399008689266718,712653.2650290126,191.95719399125423,322.10212975373656,343.38934386911825
大潮,4080,2026-06-20 01:00:00,27.146261233424347,0.08289686842105265,29.885760273972604,76.65297157933064,6495.571375334857,6500.425681457728,27.733833918448283,0.25386753953358104,642264.0456059679,199.3770570918551,278.94450853920364,309.44111054798253
大潮,4081,2026-06-20 02:00:00,27.143165773330168,0.06052844736842106,30.055760273972602,76.67739988058027,6482.974300790399,6489.636062015892,27.85806206764342,0.5802739568423597,574437.0354056737,211.77697015001556,227.00229477058537,276.74602920880113
大潮,4082,2026-06-20 03:00:00,27.143321571104423,0.031581078947368425,30.125760273972602,76.7492722064376,6452.403419219772,6469.507485586193,28.17127348722925,3.077520198688251,539304.8065895066,241.5000000001673,151.17499717664694,259.82117182759794
大潮,4083,2026-06-20 04:00:00,27.147379187430726,0.04605476315789475,30.0757602739726,76.81438294281676,6488.376983092745,6472.376153911082,27.98880379099556,1.1817881324865767,545973.6077488076,224.12311944649676,190.78830902303648,263.0541975326931
大潮,4084,2026-06-20 05:00:00,27.152411092350018,0.055265289473684205,29.995760273972603,76.82693097846622,6500.485368261136,6494.676377126493,27.90971042108942,0.7379328771471491,562288.2605725523,215.94004429199083,214.1437123133458,270.9405154329334
大潮,4085,2026-06-20 06:00:00,27.15874256557992,0.05263371052631578,29.875760273972602,76.83042032695586,6496.866787496127,6498.519610881573,27.937950109378832,0.8374813659386812,556810.3832181063,218.0965768098222,207.59689944770287,268.3331295483634
大潮,4086,2026-06-20 07:00:00,27.163120796195383,0.03026528947368421,29.815760273972604,76.87194322519098,6465.886483539957,6482.383517468872,28.2153126506268,3.4327928898970668,539646.0121532915,243.25170590291012,147.35037632120358,260.0829773393305
大潮,4087,2026-06-20 08:00:00,27.163919378110094,0.05658107894736842,29.865760273972604,76.89132095462128,6510.576703655444,6491.77881490668,27.911632263808173,0.6952206664516968,565269.5068332286,215.04322151717238,217.40960377755584,272.43636585520295
大潮,4088,2026-06-20 09:00:00,27.161138310076495,0.08552844736842104,30.0257602739726,76.84569455260983,6525.899743462276,6519.357432842039,27.73949584789837,0.23480841580939546,651391.4674984674,198.52378254031638,284.8533582587338,313.92704119524296
大潮,4089,2026-06-20 10:00:00,27.15477759084783,0.09868634210526317,30.295760273972604,76.78669289888829,6524.151259627208,6525.032009957681,27.681102943619045,0.1603654760299837,698235.3455760492,193.43249221255718,313.6383670334072,336.4621485121349
大潮,4090,2026-06-20 11:00:00,27.148740590789217,0.08816002631578947,30.555760273972602,76.7436684655911,6512.711514433843,6518.253522991098,27.71471856605575,0.21616404589105712,660518.8320018484,197.27971723391332,290.65921113425173,318.2511472188183
大潮,4091,2026-06-20 12:00:00,27.144978994461052,0.06710739473684212,30.745760273972603,76.73172842070986,6497.118531125876,6505.0656770363275,27.817154006270613,0.4436382788145377,592373.6055509249,207.61896549990493,242.70367113324136,285.3971053254322
大潮,4092,2026-06-20 13:00:00,27.144143362554164,0.04079160526315788,30.8457602739726,76.76546393086231,6472.232104951961,6485.687390559437,28.043239039088853,1.6107476135968026,540501.1747014744,229.73294860660025,176.8686958194029,260.40159535251126
大潮,4093,2026-06-20 14:00:00,27.146884255760188,0.04210739473684212,30.835760273972603,76.81715116310774,6482.840335857208,6478.071202574105,28.031516885839142,1.4871630777940412,541667.9739324512,228.33284023672354,180.39625331733802,260.97726683314255
大潮,4094,2026-06-20 15:00:00,27.152225829933624,0.07237055263157893,30.745760273972603,76.8153381067659,6514.023720604792,6500.769206311009,27.794867437993876,0.36462559642695463,608179.9505018119,204.76304571304067,255.0032520357322,293.0525553647961
大潮,4095,2026-06-20 16:00:00,27.16244505060567,0.10526528947368423,30.5057602739726,76.76948836437263,6523.209376318072,6519.452187112623,27.666470315737996,0.13496247846565862,722408.0791305994,191.28097591593018,327.7409489218974,348.16089982445004
大潮,4096,2026-06-20 17:00:00,27.17591551169725,0.12763371052631578,30.1657602739726,76.71738283746768,6520.797540575886,6522.106262893762,27.617842624204457,0.08045465226665299,799817.5629831653,169.20048578269885,374.38372023722116,385.5663035634346
大潮,4097,2026-06-20 18:00:00,27.191661369065283,0.13816002631578947,29.7557602739726,76.67573671405674,6514.700921675494,6517.66876197812,27.609544341922987,0.06493270594232481,838564.2018347101,160.24302149013576,395.79687166755923,404.3653446616043
