material,temperature_C,temperature_min_C,temperature_max_C,thermal_conductivity_W_per_mK,thermal_conductivity_min_W_per_mK,thermal_conductivity_max_W_per_mK,数据质量
Magnesium alloy AZ31B,12.5,0.0,25.0,100.0,100.0,100.0,温度取范围中点
Manganese,-73.0,-73.0,-73.0,7.17,7.17,7.17,完整点值
Manganese,0.0,0.0,0.0,7.68,7.68,7.68,完整点值
Mercury,-73.0,-73.0,-73.0,28.9,28.9,28.9,完整点值
Molybdenum,-73.0,-73.0,-73.0,143.0,143.0,143.0,完整点值
Molybdenum,0.0,0.0,0.0,139.0,139.0,139.0,完整点值
Molybdenum,127.0,127.0,127.0,134.0,134.0,134.0,完整点值
Molybdenum,327.0,327.0,327.0,126.0,126.0,126.0,完整点值
Molybdenum,527.0,527.0,527.0,118.0,118.0,118.0,完整点值
Molybdenum,727.0,727.0,727.0,112.0,112.0,112.0,完整点值
Molybdenum,927.0,927.0,927.0,105.0,105.0,105.0,完整点值
Monel,50.0,0.0,100.0,26.0,26.0,26.0,温度取范围中点
Nickel,-73.0,-73.0,-73.0,106.0,106.0,106.0,完整点值
Nickel,0.0,0.0,0.0,94.0,94.0,94.0,完整点值
Nickel,127.0,127.0,127.0,80.1,80.1,80.1,完整点值
Nickel,327.0,327.0,327.0,65.5,65.5,65.5,完整点值
Nickel,527.0,527.0,527.0,67.4,67.4,67.4,完整点值
Nickel,727.0,727.0,727.0,71.8,71.8,71.8,完整点值
Nickel,927.0,927.0,927.0,76.1,76.1,76.1,完整点值
Nickel - Wrought,50.0,0.0,100.0,75.5,61.0,90.0,温度取范围中点; 导热系数取范围中点
Cupronickel 50 -45 (Constantan),12.5,0.0,25.0,20.0,20.0,20.0,温度取范围中点
Niobium (Columbium),-73.0,-73.0,-73.0,52.6,52.6,52.6,完整点值
Niobium (Columbium),0.0,0.0,0.0,53.3,53.3,53.3,完整点值
Niobium (Columbium),127.0,127.0,127.0,55.2,55.2,55.2,完整点值
Niobium (Columbium),327.0,327.0,327.0,58.2,58.2,58.2,完整点值
Niobium (Columbium),527.0,527.0,527.0,61.3,61.3,61.3,完整点值
Niobium (Columbium),727.0,727.0,727.0,64.4,64.4,64.4,完整点值
Niobium (Columbium),927.0,927.0,927.0,67.5,67.5,67.5,完整点值
Osmium,20.0,20.0,20.0,61.0,61.0,61.0,完整点值
Palladium,,,,75.5,75.5,75.5,原表温度缺失，未填补
Platinum,-73.0,-73.0,-73.0,72.4,72.4,72.4,完整点值
Platinum,0.0,0.0,0.0,71.5,71.5,71.5,完整点值
Platinum,127.0,127.0,127.0,71.6,71.6,71.6,完整点值
Platinum,327.0,327.0,327.0,73.0,73.0,73.0,完整点值
Platinum,527.0,527.0,527.0,75.5,75.5,75.5,完整点值
Platinum,727.0,727.0,727.0,78.6,78.6,78.6,完整点值
Platinum,927.0,927.0,927.0,82.6,82.6,82.6,完整点值
Plutonium,20.0,20.0,20.0,8.0,8.0,8.0,完整点值
Potassium,-73.0,-73.0,-73.0,104.0,104.0,104.0,完整点值
Potassium,0.0,0.0,0.0,104.0,104.0,104.0,完整点值
Potassium,127.0,127.0,127.0,52.0,52.0,52.0,完整点值
Rhenium,-73.0,-73.0,-73.0,51.0,51.0,51.0,完整点值
Rhenium,0.0,0.0,0.0,48.6,48.6,48.6,完整点值
Rhenium,127.0,127.0,127.0,46.1,46.1,46.1,完整点值
Rhenium,327.0,327.0,327.0,44.2,44.2,44.2,完整点值
Rhenium,527.0,527.0,527.0,44.1,44.1,44.1,完整点值
Rhenium,727.0,727.0,727.0,44.6,44.6,44.6,完整点值
Rhenium,927.0,927.0,927.0,45.7,45.7,45.7,完整点值
Rhodium,-73.0,-73.0,-73.0,154.0,154.0,154.0,完整点值
Rhodium,0.0,0.0,0.0,151.0,151.0,151.0,完整点值
Rhodium,127.0,127.0,127.0,146.0,146.0,146.0,完整点值
Rhodium,327.0,327.0,327.0,136.0,136.0,136.0,完整点值
Rhodium,527.0,527.0,527.0,127.0,127.0,127.0,完整点值
Rhodium,727.0,727.0,727.0,121.0,121.0,121.0,完整点值
Rhodium,927.0,927.0,927.0,115.0,115.0,115.0,完整点值
Rubidium,-73.0,-73.0,-73.0,58.9,58.9,58.9,完整点值
Rubidium,0.0,0.0,0.0,58.3,58.3,58.3,完整点值
Selenium,20.0,20.0,20.0,0.52,0.52,0.52,完整点值
Silicon,-73.0,-73.0,-73.0,264.0,264.0,264.0,完整点值
Silicon,0.0,0.0,0.0,168.0,168.0,168.0,完整点值
Silicon,127.0,127.0,127.0,98.9,98.9,98.9,完整点值
Silicon,327.0,327.0,327.0,61.9,61.9,61.9,完整点值
Silicon,527.0,527.0,527.0,42.2,42.2,42.2,完整点值
Silicon,727.0,727.0,727.0,31.2,31.2,31.2,完整点值
Silicon,927.0,927.0,927.0,25.7,25.7,25.7,完整点值
Silver,-73.0,-73.0,-73.0,403.0,403.0,403.0,完整点值
Silver,0.0,0.0,0.0,428.0,428.0,428.0,完整点值
Silver,127.0,127.0,127.0,420.0,420.0,420.0,完整点值
Silver,327.0,327.0,327.0,405.0,405.0,405.0,完整点值
Silver,527.0,527.0,527.0,389.0,389.0,389.0,完整点值
Silver,727.0,727.0,727.0,374.0,374.0,374.0,完整点值
Silver,927.0,927.0,927.0,358.0,358.0,358.0,完整点值
Sodium,-73.0,-73.0,-73.0,138.0,138.0,138.0,完整点值
Sodium,0.0,0.0,0.0,135.0,135.0,135.0,完整点值
Solder 50 - 50,12.5,0.0,25.0,50.0,50.0,50.0,温度取范围中点
"Steel - Carbon, 0.5% C",20.0,20.0,20.0,54.0,54.0,54.0,完整点值
"Steel - Carbon, 1% C",20.0,20.0,20.0,43.0,43.0,43.0,完整点值
"Steel - Carbon, 1.5% C",20.0,20.0,20.0,36.0,36.0,36.0,完整点值
