排名,mat_idx,depth,wall,Q,cost,life,N,n_theory,n_space,T_sea,t_req,corr_allow_mm,mass_kg,材料,D_plus,D_minus,TOPSIS贴近度
11,0,59.46976883544479,0.007347965071342618,6607617.025753614,43903.27533839599,30.917650781255855,1012,13215.234051507226,1012.3035115367805,22.848530143699342,0.0027103174541542392,4.637647617188378,1082.2384244725454,6061 铝合金,0.03267498522871788,0.06814300738496262,0.6759012515362853
12,0,82.78981449907553,0.00790481767269404,6806958.89822054,45519.29228378594,27.54463937223962,1009,13613.91779644108,1009.8990702484689,21.34898624019702,0.003773121766858098,4.131695905835943,1155.6937401720882,6061 铝合金,0.03485297001620435,0.06958870268588319,0.6662924949926838
13,5,81.34956324797034,0.006660145599921792,7029297.835454398,241596.11167661595,46.17699265794364,1015,14058.595670908795,1015.2776939709229,21.438829185869757,0.0029659861872863005,3.6941594126354915,3257.3835540678815,T2 紫铜,0.04218119251223317,0.07566155608063738,0.6420552557038276
14,5,90.16824214343066,0.007181811618907169,7104452.957232444,256995.9460285379,48.678730584011355,1013,14208.905914464887,1013.0215423205975,20.894437545119693,0.003287513172186261,3.8942984467209083,3483.851706302028,T2 紫铜,0.044687873610994244,0.07961479663198931,0.6404914429944298
15,5,80.5241204842919,0.006522839255720347,7022166.153344881,237539.70403415035,44.8368564992048,1015,14044.332306689761,1015.8719776877344,21.490484695131325,0.0029358907357839624,3.586948519936384,3197.730500502211,T2 紫铜,0.04173233218085178,0.07421165831999531,0.6400647243502725
16,5,89.69985201175024,0.007003879117401875,7100508.905081437,251745.35882476764,46.66804175825179,1013,14201.017810162874,1013.7907792301805,20.923008338258846,0.0032704357767417316,3.733443340660143,3406.637188599524,T2 紫铜,0.043897014970026245,0.07749800476689185,0.6383952565339344
17,5,94.2757588064712,0.007347234988307334,7138810.774591455,261875.48376725125,48.87453390399972,1012,14277.62154918291,1012.3066659868368,20.64553954724581,0.003437272275987356,3.909962712319978,3555.609614224283,T2 紫铜,0.045591607581729775,0.08048466090308969,0.6383807346961625
18,5,82.0159130758834,0.006502098003525205,7035042.868518777,236926.83952034914,43.89771070293039,1015,14070.085737037554,1015.9617653602925,21.397216932680003,0.0029902811472907733,3.5118168562344314,3188.717787063958,T2 紫铜,0.04184826726918246,0.07354820610264004,0.6373522860240115
19,5,100.0,0.0076463046650614925,7186005.113846939,270692.5294854457,50.0,1011,14372.010227693878,1011.0149253230409,20.30362060856164,0.0036459767807792156,4.000327884282277,3685.272051256555,T2 紫铜,0.04727091777005946,0.08259206146647519,0.6359938910383428
20,5,100.0,0.007603198034195759,7186005.113846939,269422.0507711177,49.46526566770679,1011,14372.010227693878,1011.2010567178684,20.30362060856164,0.0036459767807792156,3.9572212534165434,3666.5885407517303,T2 紫铜,0.04702828299205072,0.08203603376953204,0.6356213384763438
21,5,96.12785594873509,0.007284593930894958,7154168.186699782,260027.96113237296,47.24743278928981,1012,14308.336373399563,1012.5773371607235,20.534280326348433,0.003504799307751773,3.779794623143185,3528.4401637113674,T2 紫铜,0.045368773835245284,0.0791347222515134,0.6356024106854749
22,5,99.54501483776522,0.0074630948523713775,7182283.185259148,265291.9323782807,47.9213340620404,1011,14364.566370518294,1011.8061394229869,20.330586988339785,0.003629388127408145,3.8337067249632324,3605.8515055629514,T2 紫铜,0.046312452447069205,0.08038055494323311,0.6344513923772073
23,5,78.51480293096351,0.006229074287963235,7004736.597018226,228856.79771659363,42.08053504532183,1017,14009.473194036453,1017.1440662680594,21.616726629167783,0.0028626314843374885,3.3664428036257465,3070.040701714612,T2 紫铜,0.041088997528529916,0.07128627141145881,0.6343590728092273
24,5,80.15258823645199,0.006256613856037757,7018950.760297491,229671.04146262215,41.678363746789294,1017,14037.901520594982,1017.0247755452251,21.513773948931707,0.0029223447562946128,3.334269099743144,3082.0148744503254,T2 紫铜,0.041362075945337924,0.07118369840844123,0.6324866377006803
25,0,30.12341970044575,0.005963375458951957,6338689.99322997,39876.17649220401,30.60339566088868,1018,12677.37998645994,1018.2953563410812,24.871402226055103,0.001372866109818655,4.590509349133302,899.1884769183641,6061 铝合金,0.03748324714852297,0.0640774344140656,0.6309275738227175
26,5,100.0,0.007033665885671805,7186005.113846939,252624.48182594634,42.346113811157366,1013,14372.010227693878,1013.6619833766265,20.30362060856164,0.0036459767807792156,3.3876891048925892,3419.5654680286225,T2 紫铜,0.04514805097812494,0.07510235218920402,0.6245496914026872
27,5,97.76768077754629,0.006871639451677145,7167695.574794884,247841.72964960453,41.33815639276829,1014,14335.391149589768,1014.3626801483683,20.43627592989213,0.003564586940255682,3.307052511421463,3349.2308772000665,T2 紫铜,0.0446420831758506,0.07381622455454698,0.6231409680657206
28,5,76.01905235813004,0.005739696192734055,6982950.577297702,214379.13599031948,37.10073993485299,1019,13965.901154595405,1019.2651150826209,21.774518355274957,0.002771636997945816,2.968059194788239,2857.1339116223453,T2 紫铜,0.04129020460410961,0.06659922782268606,0.6172914837407683
29,5,99.99999999999999,0.006766358873896585,7186005.113846939,244733.07025925355,39.00477616396713,1014,14372.010227693878,1014.8181140740562,20.30362060856164,0.003645976780779215,3.1203820931173705,3303.5152979301993,T2 紫铜,0.04516316450400011,0.07219306282185432,0.6151617555104352
30,5,100.0,0.0067436577110246265,7186005.113846939,244062.6662673365,38.721011628067636,1014,14372.010227693878,1014.9163315638151,20.30362060856164,0.0036459767807792156,3.097680930245411,3293.656415696125,T2 紫铜,0.04519139271963585,0.07195751807746936,0.6142397533861447
